gene,PCC_slice1,PCC_slice2,mean_PCC
PCLAF,0.33392806306360223,0.37868055598511974,0.356304309524361
DPT,0.362679146048314,0.34184756824816803,0.35226335714824103
MRC1,0.35497525138566727,0.3489900522388132,0.3519826518122402
ESR1,0.344739405891615,0.3553728195652132,0.3500561127284141
LPXN,0.3574451970786212,0.34199628840000146,0.3497207427393113
GZMA,0.34047443208627637,0.35852941248672293,0.3495019222864997
KDR,0.35435617672725145,0.33968455733087394,0.3470203670290627
CD163,0.3542207541433173,0.33158876719046965,0.34290476066689346
GLIPR1,0.3578120930725215,0.32735685394892594,0.34258447351072374
BASP1,0.33849612145172175,0.3462948636343073,0.3423954925430145
TCF7,0.34405581084112197,0.3310666837723835,0.33756124730675274
ERN1,0.3262704128481125,0.3448442222923278,0.3355573175702201
SLAMF1,0.32787840670986607,0.3410314571246593,0.3344549319172627
ADGRE5,0.33217116489496973,0.33247249182348015,0.33232182835922497
CD8A,0.3168509338806548,0.3424491528486824,0.3296500433646686
TOP2A,0.31539879144503435,0.3435963856308322,0.3294975885379333
MDM2,0.33744600841348393,0.31726367346886714,0.3273548409411755
C1QA,0.3323611722783504,0.3073948540248305,0.3198780131515905
CD27,0.3138981806218381,0.3252034303318827,0.31955080547686043
CENPF,0.303585737401999,0.3225341052194208,0.3130599213107099
FAM107B,0.302879023168551,0.3192380326163274,0.31105852789243915
MS4A1,0.3002932450909723,0.31860236325412816,0.30944780417255024
APOC1,0.3011186474848328,0.30698874991733427,0.30405369870108356
BANK1,0.28922646954586156,0.3075950664970778,0.2984107680214697
SQLE,0.29013439031941285,0.3019417386073883,0.2960380644634006
EDNRB,0.28070945527634533,0.3112554676783827,0.295982461477364
CD14,0.2999380668119228,0.29169048401254954,0.29581427541223615
C1QC,0.30734995400031223,0.2838294264301081,0.2955896902152102
JUP,0.2794581307077493,0.3071805331992325,0.2933193319534909
C6orf132,0.2749106422306075,0.3068252300138294,0.29086793612221845
OPRPN,0.24634931919321504,0.33266696004315804,0.28950813961818656
EGFR,0.2694303901559325,0.3056052710270485,0.2875178305914905
CD79A,0.27229191986126966,0.3000682635539782,0.28618009170762393
MEDAG,0.28232627691201895,0.2844215622736075,0.2833739195928132
ADAM9,0.27678872002790617,0.2814865287269554,0.2791376243774308
NOSTRIN,0.27054836850146063,0.2875565361750557,0.27905245233825815
IGSF6,0.27245025390369326,0.2802594152574893,0.2763548345805913
RUNX1,0.2620684065068068,0.2903765247849249,0.27622246564586583
HOXD9,0.26413388298537605,0.28462898040538914,0.2743814316953826
SERPINB9,0.2620535062871268,0.27919828696003396,0.2706258966235804
HOOK2,0.2700775988309508,0.2705825705286785,0.2703300846798147
ZNF562,0.2587881946599193,0.27755054034350546,0.2681693675017124
C5orf46,0.24232106814270624,0.2939872907070899,0.26815417942489805
KIT,0.24089764253488818,0.2876495243003491,0.26427358341761864
ANKRD29,0.2535337724720572,0.2691451178483116,0.26133944516018437
TMEM147,0.2542367567024831,0.2676574338567828,0.26094709527963295
RHOH,0.2433715731802708,0.2653791756356405,0.25437537440795566
C15orf48,0.2448253486030358,0.26278182529146105,0.2538035869472484
CAVIN2,0.24502345275065174,0.26256652726064783,0.25379499000564976
CTLA4,0.25678158512669014,0.2490738514649587,0.2529277182958244
TNFRSF17,0.23746822566666007,0.261936385785473,0.24970230572606655
SOX17,0.2436698924343647,0.255509739294264,0.24958981586431436
ITGAX,0.24376551515130704,0.2506037495578082,0.24718463235455762
FBLIM1,0.2559842113956987,0.23772115385009887,0.24685268262289878
PPARG,0.23490820347069358,0.2583654361586923,0.24663681981469293
MNDA,0.24576389888411593,0.244567242646918,0.24516557076551698
FCGR3A,0.24806020413507246,0.23323708603207616,0.2406486450835743
CD86,0.2376459103196935,0.2431464308272613,0.2403961705734774
EDN1,0.2252751401955301,0.2544522854466849,0.23986371282110752
CEACAM8,0.23162779111803306,0.24042807797125285,0.23602793454464294
RTKN2,0.224304488373523,0.24622491540487362,0.2352647018891983
BTNL9,0.2213942310685981,0.24406686890745313,0.23273054998802561
